CODICE UNIVOCO GIORNALISTA;NOME;COGNOME;NICKNAME
851;FABRIZIO;MENGHINI;
852;GIOVANNI;MERLONI;
853;JACOPO;ORSINI;
854;MARIDA;LOMBARDO PIJOLA;
855;EZIO;PASERO;
856;ROSSO;DI SAN SECONDO;
857;PIERO;SANTONASTASO;
858;GLORIA;SATTA;
859;FEDERICO;TOZZI;
860;ALDO;VALORI;
861;ORIO;VERGANI;
862;MARCO;MOLENDINI;
863;PAOLO;ZACCAGNINI;
864;FABRIZIO;ZAMPA;
865;;;
866;MARIA;RITA PARSI;
867;FRANCO;CARDINI;
868;ALESSANDRA;BORGHESE;
869;BRUNO;VESPA;
870;MASSIMO;FINI;
871;;;
872;ANDREA;TEMPESTINI;
873;IGNAZIO;STAGNO;
874;CLAUDIO;BRIGLIADORI;
875;ELIANA;GIUSTO;
876;CATERINA;SPINELLI;
877;GABRIELE;GALLUCCIO;
878;MARIA PIA;PETRAROLI;
879;;;
880;LIRIO;ABBATE;
881;MICHELE;AINIS;
882;NATALIA;ASPESI;
883;EMANUELA;AUDISIO;
884;CORRADO;AUGIAS;
885;ANDREA;BONANNI;
886;MARCO;BELPOLITI;
887;ANNA;BANDETTINI;
888;FRANCESCO;BEI;
889;MARCO;BENTIVOGLI;
890;MAURO;BIANI;
891;ALBERTO;BISIN;
892;TITO;BOERI;
893;CARLO;BONINI;
894;VINCENZO;BORGOMEO;
895;GIAMPAOLO;CADALANU;
896;FEDERICO;CAPITONI;
897;STEFANO;CAPPELLINI;
898;FILIPPO;CECCARELLI;
899;PIERO;COLAPRICO;
900;FURIO;COLOMBO;
901;PAOLO;CONDÒ;
902;CARLO;COTTARELLI;
903;GUIDO;CRAINZ;
904;MAURIZIO;CROSETTI;
905;ALBERTO;D'ARGENIO;
906;MARTA;DASSÙ;
907;ZITA;DAZZI;
908;CONCITA;DE GREGORIO;
909;CLAUDIA;DE LILLO;
910;ALESSANDRO;DE NICOLA;
911;ILVO;DIAMANTI;
912;ANTONIO;DIPOLLINA;
913;ROBERTO;ESPOSITO;
914;STEFANO;FOLLI;
915;ENRICO;FRANCESCHINI;
916;UMBERTO;GALIMBERTI;
917;PAOLO;GARIMBERTI;
918;MASSIMO;GIANNINI;
919;MIGUEL;GOTOR;
920;RENZO;GUOLO;
921;BERNARD-HENRI;LÉVY;
922;ORAZIO;LA ROCCA;
923;ALESSANDRA;LONGO;
924;RICCARDO;LUNA;
925;LUIGI;MANCONI;
926;STEFANO;MANCUSO;
927;STEFANO;MASSINI;
928;DANIELE;MASTROGIACOMO;
929;EZIO;MAURO;
930;SANTOLO;MEO;
931;FRANCESCO;MERLO;
932;SEBASTIANO;MESSINA;
933;MARINO;NIOLA;
934;ROBERTO;PEROTTI;
935;CARLO;PETRINI;
936;FRANCESCO;PICCOLO;
937;MARIO;PLATERO;
938;MASSIMO;RECALCATI;
939;DANIELE;RAINERI;
940;MAURIZIO;RICCI;
941;MASSIMO;RIVA;
942;GABRIELE;ROMAGNOLI;
943;ANDREA;ROMANO;
944;PAOLO;RUMIZ;
945;LINDA LAURA;SABBADINI;
946;ISAIA;SALES;
947;CHIARA;SARACENO;
948;MICHELE;SERRA;
949;DOMENICO;SINISCALCO;
950;CHIARA;VALERIO;
951;FEDERICO;VARESE;
952;;;
953;GEMINELLO;ALVI;
954;PAOLO;ARMAROLI;
955;GIANNI;BAGET BOZZO;
956;LUCIANA;BALDRIGHI;
957;MATTEO;BASILE;
958;MASSIMO;BERTARELLI;
959;FAUSTO;BILOSLAVO;
960;FRANCESCO;BOEZI;
961;ANTONIO;BORRELLI;
962;MICHELE;BRAMBILLA;
963;CLAUDIO;BORGHI AQUILINI;
964;PIETRANGELO;BUTTAFUOCO;
965;MAURIZIO;CABONA;
966;MATTEO;CARNIELETTO;
967;MARIO;CERVI;
968;GIAN MARCO;CHIOCCI;
969;CHIARA;CLAUSI;
970;ANDREA;CORTELLARI;
971;ANDREA;CUOMO;
972;TONY;DAMASCELLI;
973;FRANCESCO;DAMATO;
974;GIUSEPPE;DE BELLIS;
975;PAOLO;DEL DEBBIO;
976;FRANCESCO MARIA;DEL VIGO;
977;LUCA;DONINELLI;
978;LUIGI;MASCHERONI;
979;FILIPPO;FACCI;
980;ADALBERTO;FALLETTA;
981;DOMENICO;FERRARA;
982;ROBERTO;FESTORAZZI;
983;MARCELLO;FOA;
984;CARLO;FRANZA;
985;CLARISSA;GIGANTE;
986;MARIO;GIORDANO;
987;ALESSANDRO;GNOCCHI;
988;GIORDANO BRUNO;GUERRI;
989;LUCIANO;GULLI;
990;PAOLO;GUZZANTI;
991;MARCO;IACONA;
992;ANDREA;INDINI;
993;MASSIMO;INTROVIGNE;
994;XAVIER;JACOBELLI;
995;LUCIO;LAMI;
996;GIANCARLO;LEHNER;
997;THOMAS;LEONCINI;
998;MARCO;LOMBARDO;
999;STEFANO;LORENZETTO;
1000;CARLO;LOTTIERI;
1001;VITTORIO;MACIOCE;
1002;IDA;MAGLI;
1003;MARIA GIOVANNA;MAGLIE;
1004;FABIO;MARCHESE RAGONA;
1005;NICOLA;MATTEUCCI;
1006;GIAN;MICALESSIN;
1007;MORGAN;;
1008;GIORGIO;MULÉ;
1009;AMEDEO;NIGRA;
1010;FIAMMA;NIRENSTEIN;
1011;FRANCO;ORDINE;
1012;PIERO;OSTELLINO;
1013;MASSIMILIANO;PARENTE;
1014;ROBERTA;PASERO;
1015;CARLO;PELANDA;
1016;RICCARDO;PELLICCETTI;
1017;GIANCARLO;PERNA;
1018;PAOLO CIRINO;POMICINO;
1019;CLAUDIO;POMPEI;
1020;NICOLA;PORRO;
1021;ANDREA;PUCCI;
1022;GAETANO;QUAGLIARIELLO;
1023;SANDRO;RINALDINI;
1024;EUGENIA;ROCCELLA;
1025;CINZIA;ROMANI;
1026;DIEGO;RUBERO;
1027;ORLANDO;SACCHELLI;
1028;MATTEO;SACCHI;
1029;ALESSANDRO;SALLUSTI;
1030;ROBERTO;SCAFURI;
1031;SALVATORE;SCARPINO;
1032;ADALBERTO;SIGNORE;
1033;RICCARDO;SIGNORI;
1034;VITTORIO;SGARBI;
1035;STENIO;SOLINAS;
1036;LUCA;TELESE;
1037;MASSIMO;TEODORI;
1038;GIORGIO;TORELLI;
1039;SALVATORE;TRAMONTANO;
1040;MARCELLO;VENEZIANI;
1041;GABRIELE;VILLA;
1042;GIORGIO;VITTADINI;
1043;STEFANO;ZECCHI;
1044;STEFANO;VLADOVICH;
1045;STEFANO;ZURLO;
1046;MARCELLO;ZACCHÉ;
1047;EMANUELE;FRAGASSO;
1048;ROBERTO;CHIFARI;
1049;WILLIAM;ZANELLATO;
1050;FEDERICO;BINI;
1051;LUCA;SABLONE;
1052;;;
1053;GIANNI;BARBACETTO;
1054;FURIO;COLOMBO;
1055;PINO;CORRIAS;
1056;NANDO;DALLA CHIESA;
1057;MASSIMO;FINI;
1058;PETER;GOMEZ;
1059;MARCO;LILLO;
1060;GAD;LERNER;
1061;DANIELE;LUTTAZZI;
1062;TOMASO;MONTANARI;
1063;PIERCAMILLO;DAVIGO;
1064;DANIELA;RANIERI;
1065;BARBARA;SPINELLI;
1066;EUGENIO;BERNARDINI;
1067;ALESSANDRO;BARBERO;
1068;GUIDO;BIONDI;
1069;ETTORE;BOFFANO;
1070;PIETRANGELO;BUTTAFUOCO;
1071;GIAMPIERO;CALAPÀ;
1072;BENNY;CALASANZIO;
1073;SALVATORE;CANNAVÒ;
1074;COSIMO;CARIDDI;
1075;CLAUDIA;COLASANTI;
1076;LUCA;DE CAROLIS;
1077;NANNI;DELBECCHI;
1078;ERMINIA;DELLA FRATTINA;
1079;GIORGIO;DELL'ARTI;
1080;EDUARDO;DI BLASI;
1081;SILVIA;D'ONGHIA;
1082;STEFANO;FELTRI;
1083;ALESSANDRO;FERRUCCI;
1084;ENRICO;FIERRO;
1085;PAOLO;FLORES D'ARCAIS;
1086;LUIGI;GALELLA;
1087;MARIA RITA;GISMONDO;
1088;GIAMPIERO;GRAMAGLIA;
1089;PAOLO;ISOTTA;
1090;VINCENZO;IURILLO;
1091;EMILIANO;LIUZZI;
1092;GIUSEPPE;LO BIANCO;
1093;SELVAGGIA;LUCARELLI;
1094;WANDA;MARRA;
1095;ANTONELLA;MASCALI;
1096;ANTONIO;MASSARI;
1097;LORIS;MAZZETTI;
1098;GIORGIO;MELETTI;
1099;LUCA;MERCALLI;
1100;FABIO;MINI;
1101;DOMENICO;MOGAVERO;
1102;ANGELO;MOLICA FRANCO;
1103;SIMONE;NIGRISOLI;
1104;PIERGIORGIO;ODIFREDDI;
1105;PAOLO;OJETTI;
1106;MALCOM;PAGANI;
1107;MARCO;PALOMBI;
1108;PIERFRANCO;PELLIZZETTI;
1109;GIUSEPPE;PIPITONE;
1110;FEDERICO;PONTIGGIA;
1111;MARIO;PORTANOVA;
1112;ELISABETTA;REGUITTI;
1113;MASSIMO;REINA;
1114;PASQUALE;RINALDIS;
1115;CLAUDIO;SABELLI FIORETTI;
1116;FERRUCCIO;SANSA;
1117;ANDREA;SCANZI;
1118;VAURO;SENESI;
1119;CATERINA;SOFFICI;
1120;ANTONIO ;SPADARO;
1121;CARLO;TECCE;
1122;BRUNO;TINTI;
1123;SILVIA;TRUZZI;
1124;LUCA;SOMMI;
1125;GIOVANNI;VALENTINI;
1126;DAVIDE;VECCHI;
1127;VALERIO;VENTURI;
1128;PAOLO;ZILLIANI;
1129;;;
1130;MAURIZIO;BELPIETRO;
1131;GIACOMO;AMADORI;
1132;FABIO;AMENDOLARA;
1133;SIMONE;DI MEO;
1134;MARIANNA;BAROLI;
1135;FRANCESCO;BONAZZI;
1136;ANTONIO ;AMOROSI;
1137;GIORGIO;GANDOLA;
1138;FAUSTO;BILOSLAVO;
1139;MIKOL;BELLUZZI;
1140;FRANCESCO;BORGONOVO;
1141;FRANCESCO;CANINO;
1142;MARIANNA;BAROLI;
1143;GUIDO;CASTELLANO;
1144;LORENZO;DEL BOCA;
1145;GUIDO;FONTANELLI;
1146;OSCAR;DI MONTIGNY;
1147;TERRY;MAROCCO;
1148;ANTONELLA;MATARRESE;
1149;DANIELA;MATTALIA;
1150;GIANNI;POGLIO;
1151;CARLO;PUCA;
1152;ANTONIO ;ROSSITTO;
1153;ALESSANDRO;FANTECHI;
1154;DANIEL;MOSSERI;
1155;GIAN MARCO;LITRICO;
1156;VALERIA;ROBECCO;
1157;PAOLO;MANZO;
1158;MARTA;OTTAVIANI;
1159;CHIARA;CLAUSI;
1160;LUCA;SCIORTINO;
1161;GIORGIO;STURLESE TOSI;
1162;LUCA;TELESE;
1163;MARCO;MORELLO;
1164;VALENTINA;PEPE;
1165;ANTONELLA;MATARRESE;
1166;MADDALENA;BONACCORSO;
1167;MARIELLA ;BAROLI;
1168;GEMMA;GAETANI;
